"year","y","mu_var","sig_var"
2068,3.09625291824341,2.56202464103699,2.56202464103699
2069,3.55844926834106,2.63073563575745,2.63073563575745
2070,3.7270667552948,2.66829214096069,2.66829214096069
2071,3.73575162887573,2.64198956489563,2.64198956489563
2072,3.71334004402161,2.78196864128113,2.78196864128113
2073,4.15986156463623,2.73071260452271,2.73071260452271
2074,3.39237189292908,2.81140723228455,2.81140723228455
2075,3.83372831344604,2.91108922958374,2.91108922958374
2076,4.3029613494873,2.88387117385864,2.88387117385864
2077,3.3917236328125,3.02880883216858,3.02880883216858
2078,3.73316264152527,3.08179378509521,3.08179378509521
2079,4.44340658187866,3.08287696838379,3.08287696838379
2080,3.75111889839172,3.09063997268677,3.09063997268677
2081,3.95176124572754,3.17323603630066,3.17323603630066
2082,4.46934270858765,3.19956216812134,3.19956216812134
2083,4.34306144714355,3.25072107315063,3.25072107315063
